player,rating
Min Lee,-7.9200712044329915
Brody Ninyette,-7.3271569782985
Daniel Popovic,-7.141651269393398
Guillermo Davila,-6.731102142632067
Doug Wade,-6.174920038791959
Drew Goff,-6.156771878312552
Craig Hinton,-6.055496260328801
Bowen Xiao,-5.8566103429903755
Leun-Kwang Kim,-5.771264678858087
Peter Jung,-5.744474579779673
Clay Myers II,-5.736831306489995
Jaco Ahlers,-5.37870656144561
Juan Campusano,-5.354691840431085
John Bierkan,-5.271970368929727
Ryan Kennedy,-5.184730745302681
David Carr,-5.076336362520179
Mike Norman,-5.049597349336153
David Damesworth,-5.009324926462348
Craig Brischke,-4.973228286765263
Ian Marshall,-4.935395488848496
John Stoltz,-4.923014258236107
Dwayne Pearman,-4.836336149753653
Robert Calvesbert,-4.78131934122619
Mike Standly,-4.746876240494477
Michael Barbosa,-4.704391251558488
Lee Rhind,-4.627774530598707
Kip Henley,-4.517275085260654
Zach Edmondson,-4.461625274463866
Michael Frye,-4.439343115715049
Daniel Venezio,-4.431670760605861
Clayton Wonnell,-4.41165395638645
Ben Boudreau,-4.386756242156647
Yi Cao,-4.378745960286659
Simon Edwards,-4.344595225866518
Ron Streck,-4.2876199679052664
Tim Parun,-4.27215815567176
Peter Jacobsen,-4.216526219515964
Bill Murchison III,-4.208573884945811
Walker Lee,-4.1832951598900685
Huilin Zhang,-4.164722077817128
Preston Otte,-4.145183938606282
JC Ritchie,-4.12904624042629
Tyson Shinaut,-4.128497359811418
Jeff Peck,-4.056727909640918
John Little II,-4.040145471263701
Mike Keymont,-4.024849202675346
Michael Blair,-4.015746962765017
Justin YW Kim,-3.986462384047811
Scott Moran,-3.9858333948032896
Arie Irawan,-3.9620611921191067
Chris Starkjohann,-3.959443084669907
Ron Skayhan,-3.92980379805433
Paul Norris,-3.9277213661930426
Austin Peters,-3.915645119580211
Brad Sill,-3.9066160488539574
Blaine Peffley,-3.8946915215425353
Alex Kim,-3.8732093800978635
Ian Keenan,-3.87056727600642
Paul Earnest,-3.8468390422401937
Scott Erdmann,-3.844531984042889
Kyle Bilodeau,-3.8074634251618007
Alejandro Quiroz,-3.7992839608139173
Dave Eichelberger,-3.7770722160247887
Cole Howard,-3.7718260425107237
Inigo Urquizu,-3.723907064453305
Daniel Nisbet,-3.723777720124005
Matt Bova,-3.715636576786036
Angel Cabrera Jr,-3.6974503484616568
Joe Boros,-3.687576191459806
Paul Chaplet,-3.6738592098211122
David Solomon,-3.6607624154041356
James Oh,-3.6363151602621118
Michael Jonzon,-3.632008954196545
Tom Murray,-3.623683154527927
Ray Otis,-3.6223563101791116
Billy Downes,-3.619023073152865
Todd Camplin,-3.585569602190636
Yoshitaka Takeya,-3.5834069782984836
Ben Crenshaw,-3.581467526850445
Chris Tallman,-3.574955603197464
Carlos Concha,-3.543572348857654
Josh Whalen,-3.5157469627650215
Jess Ferrell,-3.514684856243809
David Ogrin,-3.5118263171116277
Brian Cairns,-3.4975964833691173
Eric Banks,-3.486448008007025
Ryan Williams,-3.4832503464876474
Steve Lamontagne,-3.4800271540326935
Efren Serna Jr.,-3.475206179108079
Drew Stoltz,-3.473907064453311
Chip Sullivan,-3.4596269274912577
Ryan Stachler,-3.45681758215618
Zach Steffen,-3.440400273317847
Kevin Golding,-3.422992068869852
