player,rating
Rory McIlroy,4.528092943076238
Jon Rahm,4.4328740281587224
Dustin Johnson,4.417169575588838
Armando Favela,4.298809496443272
Justin Rose,4.220091321831592
Ignacio Garrido,4.194928314497653
Robert MacIntyre,4.159393106471558
Jason Day,4.122192533479005
Hideki Matsuyama,4.095034636651617
Patrick Cantlay,4.087428915890133
Jordan Spieth,4.043270816941791
Brooks Koepka,4.0067002489233925
Tommy Fleetwood,3.9960606148402062
Henrik Stenson,3.989913848697121
Justin Thomas,3.9896660491912077
John Cook,3.9606573866086054
Angelo Que,3.95249400908434
Rickie Fowler,3.9431445452306395
Adam Scott,3.925073774841316
Victor Perez,3.901117408815751
Eduardo De La Riva,3.8997391568585513
Erik van Rooyen,3.892260740031029
Collin Morikawa,3.883784100690612
Paul Casey,3.8764418502824456
Matt Kuchar,3.8275137490530082
Gregory Yates,3.7808076204285044
Daisuke Kataoka,3.7579131973015416
Sungjae Im,3.7562041875684287
Richard Bland,3.755783554887338
Scottie Scheffler,3.740055587832032
Tiger Woods,3.698474303538081
Sergio Garcia,3.6976193289941404
Phil Mickelson,3.695193801415628
Chad Ramey,3.6945052591865974
Webb Simpson,3.690574756220728
Tony Finau,3.6807532429426213
Christiaan Bezuidenhout,3.6427252499267575
Tyrrell Hatton,3.637727917060253
Patrick Reed,3.622155818293563
Johan Edfors,3.6215339788089143
Bryson DeChambeau,3.5834261037913415
Carl Yuan,3.5808067255699756
Callum Shinkwin,3.568200444349057
Louis Oosthuizen,3.563913262770754
Xander Schauffele,3.549027068194559
Jim Furyk,3.5141691647207267
Andrew Wilson,3.5040978802465044
Steve Stricker,3.4902466976622577
Jimmy Gunn,3.4622419129396134
Francesco Molinari,3.4585304335554543
Bubba Watson,3.4539260045422586
Marc Leishman,3.4481755901677906
Gary Woodland,3.443166018994621
Matthias Schwab,3.4390813596520813
Mickey DeMorat,3.430578075442051
Viktor Hovland,3.427198280912421
Zach Johnson,3.4147070187224635
Harry Higgs,3.395897682618171
Daniel Berger,3.377958371431551
Siddikur Rahman,3.372876000655884
Sean Crocker,3.356854595462014
Morten Orum Madsen,3.350857123609677
Ryan Moore,3.3446628028948124
Brandt Snedeker,3.334740373788661
Ashley Chesters,3.3279365618443704
Kevin Na,3.3250841975923455
David Drysdale,3.318369682215723
Inn-choon Hwang,3.3169183930670076
Emiliano Grillo,3.308789539456911
Shane Lowry,3.2986319540817486
Ian Poulter,3.296026725422662
Keegan Bradley,3.2935720744010197
Matthew Southgate,3.282419004047493
Byeong-Hun An,3.2734496519417746
Lee Westwood,3.253996940296671
Alexander Noren,3.2507710597790376
Do-Hoon Kim,3.243294827895786
Charles Howell III,3.234632019646797
Rafael Cabrera Bello,3.2238832939566286
Calum Hill,3.2161617935082365
Aaron Wise,3.2126974532405015
Ben Kern,3.204382109734051
Joaquin Niemann,3.2026694731763397
Paul Peterson,3.1900147566551147
Haydn Porteous,3.17452157214364
Adam Hadwin,3.1730441187327214
Thomas Pieters,3.1728118135372494
Branden Grace,3.1555933786337937
Russell Knox,3.1472112654905477
Matthew Fitzpatrick,3.1447183526490146
Matt Wallace,3.1330065915358243
Charl Schwartzel,3.1264305505945567
Matthew NeSmith,3.1264290949720044
Gregory Bourdy,3.1212715708129655
Kevin Kisner,3.109464978427246
Chez Reavie,3.098527889243291
Charley Hoffman,3.0860547164281966
Brandon Wu,3.0820546550861856
Billy Horschel,3.081963314813258
Masahiro Kawamura,3.0751464790756455
Bill Haas,3.042938180053067
Ryan Palmer,3.037001917030042
Jason Dufner,3.0217692634180513
Eddie Pepperell,3.0191698732428227
Pat Perez,3.01540886720076
Jason Kokrak,3.013750260117033
Bud Cauley,3.007509139673309
Austen Truslow,3.0060256674833448
